Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Paul Reed (25885866),Paul Reed,25885866,UTIL,2000,SAC@PHI 12/13/2022 07:00PM ET,PHI,11.56
PG,Matthew Dellavedova (25885901),Matthew Dellavedova,25885901,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.27
SG/SF,Furkan Korkmaz (25885902),Furkan Korkmaz,25885902,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,8.7
C,Neemias Queta (25885903),Neemias Queta,25885903,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,0
PG,Saben Lee (25885904),Saben Lee,25885904,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,4.75
C,Alex Len (25885905),Alex Len,25885905,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,3.16
SG/SF,Matisse Thybulle (25885906),Matisse Thybulle,25885906,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,6.07
SF,Julian Champagnie (25885907),Julian Champagnie,25885907,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,1
C,Richaun Holmes (25885908),Richaun Holmes,25885908,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.71
PF,KZ Okpala (25885909),KZ Okpala,25885909,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.13
SG/SF,Keon Ellis (25885910),Keon Ellis,25885910,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,0.62
PF,Chima Moneke (25885911),Chima Moneke,25885911,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,2.5
SG,Jaden Springer (25885912),Jaden Springer,25885912,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,3
PF/C,Trey Lyles (25885867),Trey Lyles,25885867,UTIL,1400,SAC@PHI 12/13/2022 07:00PM ET,SAC,11.82
PG,Matthew Dellavedova (25885868),Matthew Dellavedova,25885868,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.27
SG/SF,Furkan Korkmaz (25885869),Furkan Korkmaz,25885869,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,8.7
C,Neemias Queta (25885870),Neemias Queta,25885870,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,0
PG,Saben Lee (25885871),Saben Lee,25885871,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,4.75
C,Alex Len (25885872),Alex Len,25885872,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,3.16
SG/SF,Matisse Thybulle (25885873),Matisse Thybulle,25885873,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,6.07
SF,Julian Champagnie (25885874),Julian Champagnie,25885874,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,1
C,Richaun Holmes (25885875),Richaun Holmes,25885875,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.71
PF,KZ Okpala (25885876),KZ Okpala,25885876,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.13
SG/SF,Keon Ellis (25885877),Keon Ellis,25885877,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,0.62
PF,Chima Moneke (25885878),Chima Moneke,25885878,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,2.5
SG,Jaden Springer (25885879),Jaden Springer,25885879,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,3
