Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Isaiah Jackson (25905120),Isaiah Jackson,25905120,CPT,3000,GSW@IND 12/14/2022 07:00PM ET,IND,16.79
PG,T.J. McConnell (25905085),T.J. McConnell,25905085,UTIL,2400,GSW@IND 12/14/2022 07:00PM ET,IND,16.77
SF/PF,Oshae Brissett (25905086),Oshae Brissett,25905086,UTIL,2200,GSW@IND 12/14/2022 07:00PM ET,IND,12.55
C,Goga Bitadze (25905121),Goga Bitadze,25905121,CPT,2100,GSW@IND 12/14/2022 07:00PM ET,IND,9.77
PF/C,Isaiah Jackson (25905087),Isaiah Jackson,25905087,UTIL,2000,GSW@IND 12/14/2022 07:00PM ET,IND,16.79
PF,Daniel Theis (25905122),Daniel Theis,25905122,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,IND,0
C,James Wiseman (25905123),James Wiseman,25905123,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,GSW,12.96
PG,Trevelin Queen (25905124),Trevelin Queen,25905124,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,IND,4.62
PF,Patrick Baldwin Jr. (25905125),Patrick Baldwin Jr.,25905125,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,GSW,6.2
PG,Ryan Rollins (25905126),Ryan Rollins,25905126,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,GSW,3.39
SG/SF,Kendall Brown (25905127),Kendall Brown,25905127,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,IND,4.67
PG/SG,Ty Jerome (25905128),Ty Jerome,25905128,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,GSW,9.42
PF,Andre Iguodala (25905129),Andre Iguodala,25905129,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,GSW,0
C,Terry Taylor (25905130),Terry Taylor,25905130,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,IND,4.72
PF,James Johnson (25905131),James Johnson,25905131,CPT,1500,GSW@IND 12/14/2022 07:00PM ET,IND,5.14
C,Goga Bitadze (25905088),Goga Bitadze,25905088,UTIL,1400,GSW@IND 12/14/2022 07:00PM ET,IND,9.77
PF,Daniel Theis (25905089),Daniel Theis,25905089,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,IND,0
C,James Wiseman (25905090),James Wiseman,25905090,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,GSW,12.96
PG,Trevelin Queen (25905091),Trevelin Queen,25905091,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,IND,4.62
PF,Patrick Baldwin Jr. (25905092),Patrick Baldwin Jr.,25905092,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,GSW,6.2
PG,Ryan Rollins (25905093),Ryan Rollins,25905093,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,GSW,3.39
SG/SF,Kendall Brown (25905094),Kendall Brown,25905094,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,IND,4.67
PG/SG,Ty Jerome (25905095),Ty Jerome,25905095,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,GSW,9.42
PF,Andre Iguodala (25905096),Andre Iguodala,25905096,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,GSW,0
C,Terry Taylor (25905097),Terry Taylor,25905097,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,IND,4.72
PF,James Johnson (25905098),James Johnson,25905098,UTIL,1000,GSW@IND 12/14/2022 07:00PM ET,IND,5.14
