Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,A.J. Green (25777155),A.J. Green,25777155,FLEX,5200,NE@ARI 12/12/2022 08:15PM ET,ARI,3.81
WR,Nelson Agholor (25777156),Nelson Agholor,25777156,FLEX,5000,NE@ARI 12/12/2022 08:15PM ET,NE,6.43
TE,Jonnu Smith (25777109),Jonnu Smith,25777109,CPT,4500,NE@ARI 12/12/2022 08:15PM ET,NE,3.86
DST,Patriots  (25777157),Patriots ,25777157,FLEX,4400,NE@ARI 12/12/2022 08:15PM ET,NE,10.42
K,Tristan Vizcaino (25777158),Tristan Vizcaino,25777158,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,5
K,Quinn Nordin (25777159),Quinn Nordin,25777159,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,0
K,Nick Folk (25777160),Nick Folk,25777160,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,9.25
K,Matt Prater (25777161),Matt Prater,25777161,FLEX,4000,NE@ARI 12/12/2022 08:15PM ET,ARI,6
RB,Keaontay Ingram (25777110),Keaontay Ingram,25777110,CPT,3900,NE@ARI 12/12/2022 08:15PM ET,ARI,2.21
DST,Cardinals  (25777162),Cardinals ,25777162,FLEX,3800,NE@ARI 12/12/2022 08:15PM ET,ARI,6.67
TE,Trey McBride (25777111),Trey McBride,25777111,CPT,3600,NE@ARI 12/12/2022 08:15PM ET,ARI,1.24
WR,Greg Dortch (25777112),Greg Dortch,25777112,CPT,3300,NE@ARI 12/12/2022 08:15PM ET,ARI,7.34
TE,Jonnu Smith (25777163),Jonnu Smith,25777163,FLEX,3000,NE@ARI 12/12/2022 08:15PM ET,NE,3.86
WR,Robbie Anderson (25777113),Robbie Anderson,25777113,CPT,2700,NE@ARI 12/12/2022 08:15PM ET,ARI,3.74
RB,Keaontay Ingram (25777164),Keaontay Ingram,25777164,FLEX,2600,NE@ARI 12/12/2022 08:15PM ET,ARI,2.21
TE,Trey McBride (25777165),Trey McBride,25777165,FLEX,2400,NE@ARI 12/12/2022 08:15PM ET,ARI,1.24
WR,Greg Dortch (25777166),Greg Dortch,25777166,FLEX,2200,NE@ARI 12/12/2022 08:15PM ET,ARI,7.34
WR,Tyquan Thornton (25777114),Tyquan Thornton,25777114,CPT,2100,NE@ARI 12/12/2022 08:15PM ET,NE,4.66
WR,Robbie Anderson (25777167),Robbie Anderson,25777167,FLEX,1800,NE@ARI 12/12/2022 08:15PM ET,ARI,3.74
WR,Tyquan Thornton (25777168),Tyquan Thornton,25777168,FLEX,1400,NE@ARI 12/12/2022 08:15PM ET,NE,4.66
RB,J.J. Taylor (25777115),J.J. Taylor,25777115,CPT,1200,NE@ARI 12/12/2022 08:15PM ET,NE,2.7
WR,Andre Baccellia (25777116),Andre Baccellia,25777116,CPT,900,NE@ARI 12/12/2022 08:15PM ET,ARI,1.37
RB,J.J. Taylor (25777169),J.J. Taylor,25777169,FLEX,800,NE@ARI 12/12/2022 08:15PM ET,NE,2.7
WR,Andre Baccellia (25777170),Andre Baccellia,25777170,FLEX,600,NE@ARI 12/12/2022 08:15PM ET,ARI,1.37
RB,Corey Clement (25777117),Corey Clement,25777117,CPT,600,NE@ARI 12/12/2022 08:15PM ET,ARI,0.45
RB,Corey Clement (25777171),Corey Clement,25777171,FLEX,400,NE@ARI 12/12/2022 08:15PM ET,ARI,0.45
TE,Maxx Williams (25777118),Maxx Williams,25777118,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0.28
RB,Kevin Harris (25777119),Kevin Harris,25777119,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0.2
TE,Stephen Anderson (25777120),Stephen Anderson,25777120,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0.1
WR,Tre Nixon (25777121),Tre Nixon,25777121,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
TE,Bernhard Seikovits (25777122),Bernhard Seikovits,25777122,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
TE,Scotty Washington (25777123),Scotty Washington,25777123,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
TE,Matt Sokol (25777124),Matt Sokol,25777124,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Pharoh Cooper (25777125),Pharoh Cooper,25777125,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
TE,Chris Pierce Jr. (25777126),Chris Pierce Jr.,25777126,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
WR,Lynn Bowden Jr. (25777127),Lynn Bowden Jr.,25777127,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Javon Wims (25777128),Javon Wims,25777128,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
RB,Ty'Son Williams (25777129),Ty'Son Williams,25777129,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
WR,Raleigh Webb (25777130),Raleigh Webb,25777130,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Matthew Slater (25777131),Matthew Slater,25777131,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
RB,Pierre Strong Jr. (25777132),Pierre Strong Jr.,25777132,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0.05
TE,Zach Ertz (25777133),Zach Ertz,25777133,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,11.56
WR,Ty Montgomery (25777134),Ty Montgomery,25777134,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,10.3
RB,Darrel Williams (25777135),Darrel Williams,25777135,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,3.52
WR,Kristian Wilkerson (25777136),Kristian Wilkerson,25777136,CPT,300,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Antoine Wesley (25777137),Antoine Wesley,25777137,CPT,300,NE@ARI 12/12/2022 08:15PM ET,ARI,0
TE,Maxx Williams (25777172),Maxx Williams,25777172,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0.28
RB,Kevin Harris (25777173),Kevin Harris,25777173,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0.2
TE,Stephen Anderson (25777174),Stephen Anderson,25777174,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0.1
WR,Tre Nixon (25777175),Tre Nixon,25777175,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
TE,Bernhard Seikovits (25777176),Bernhard Seikovits,25777176,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
TE,Scotty Washington (25777177),Scotty Washington,25777177,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
TE,Matt Sokol (25777178),Matt Sokol,25777178,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Pharoh Cooper (25777179),Pharoh Cooper,25777179,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
TE,Chris Pierce Jr. (25777180),Chris Pierce Jr.,25777180,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
WR,Lynn Bowden Jr. (25777181),Lynn Bowden Jr.,25777181,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Javon Wims (25777182),Javon Wims,25777182,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
RB,Ty'Son Williams (25777183),Ty'Son Williams,25777183,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
WR,Raleigh Webb (25777184),Raleigh Webb,25777184,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Matthew Slater (25777185),Matthew Slater,25777185,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
RB,Pierre Strong Jr. (25777186),Pierre Strong Jr.,25777186,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0.05
TE,Zach Ertz (25777187),Zach Ertz,25777187,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,11.56
WR,Ty Montgomery (25777188),Ty Montgomery,25777188,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,10.3
RB,Darrel Williams (25777189),Darrel Williams,25777189,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,3.52
WR,Kristian Wilkerson (25777190),Kristian Wilkerson,25777190,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,NE,0
WR,Antoine Wesley (25777191),Antoine Wesley,25777191,FLEX,200,NE@ARI 12/12/2022 08:15PM ET,ARI,0
